"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C300","CAPC1005N","925.197mil","1104.331mil","925.197mil","1104.331mil","948.819mil","1104.331mil","T","180.00","0.1uF, 25V, X5R"
"C225","CAPC1005N","3397.638mil","590.551mil","3397.638mil","590.551mil","3421.26mil","590.551mil","T","180.00","130pF, NP0"
"C224","CAPC1005N","2956.693mil","661.417mil","2956.693mil","661.417mil","2980.315mil","661.417mil","T","180.00","100pF, NP0"
"C223","CAPC1005N","2881.89mil","625.984mil","2881.89mil","625.984mil","2881.89mil","649.606mil","T","270.00","0.1uF, 25V, X5R"
"C222","CAPC1608N","3001.968mil","582.677mil","3001.968mil","582.677mil","2970.472mil","582.677mil","B","360.00","1.0uF, 25V, 20% X5R"
"C221","CAPC1005N","3271.654mil","500mil","3271.654mil","500mil","3271.654mil","476.378mil","T","90.00","51pF, NP0"
"C220","CAPC1005N","3314.961mil","500mil","3314.961mil","500mil","3314.961mil","476.378mil","T","90.00","2.2nF, X7R, 10%"
"C219","CAPC1005N","3188.976mil","476.378mil","3188.976mil","476.378mil","3188.976mil","452.756mil","T","90.00","0.1uF, 25V, X5R"
"C218","CAPC1005N","2842.52mil","456.693mil","2842.52mil","456.693mil","2818.898mil","456.693mil","T","360.00","0.1uF, 25V, X5R"
"C217","CAPC1005N","3846.457mil","334.646mil","3846.457mil","334.646mil","3846.457mil","311.024mil","B","90.00","10nF, X7R, 50V 10%"
"C216","CAPC1005N","3145.669mil","448.819mil","3145.669mil","448.819mil","3145.669mil","472.441mil","T","270.00","0.1uF, 25V, X5R"
"C215","CAPC1608N","2859.252mil","469.488mil","2859.252mil","469.488mil","2859.252mil","437.992mil","B","90.00","1.0uF, 25V, 20% X5R"
"C214","CAPC1608N","3078.74mil","496.063mil","3078.74mil","496.063mil","3078.74mil","464.567mil","B","90.00","1.0uF, 25V, 20% X5R"
"C213","CAPC1608N","4086.614mil","334.646mil","4086.614mil","334.646mil","4086.614mil","303.15mil","T","90.00","2.2uF, 25V, 10% X5R"
"C212","CAPC1005N","2850.394mil","527.559mil","2850.394mil","527.559mil","2850.394mil","551.181mil","T","270.00","0.1uF, 25V, X5R"
"C211","CAPC1608N","3133.858mil","330.709mil","3133.858mil","330.709mil","3133.858mil","362.205mil","T","270.00","1.0uF, 25V, 20% X5R"
"C210","CAPC3225N","3326.772mil","144.685mil","3326.772mil","144.685mil","3326.772mil","201.772mil","T","270.00","22uF, 25V, X5R, 10% (DNP)"
"C209","CAPC3225N","3200.787mil","144.685mil","3200.787mil","144.685mil","3200.787mil","201.772mil","T","270.00","22uF, 25V, X5R, 10%"
"C208","CAPC3225N","3074.803mil","728.346mil","3074.803mil","728.346mil","3074.803mil","785.433mil","T","270.00","22uF, 25V, X5R, 10% (DNP)"
"C207","CAPC3225N","3200.787mil","728.346mil","3200.787mil","728.346mil","3200.787mil","785.433mil","T","270.00","22uF, 25V, X5R, 10%"
"C206","CAPC1005N","2795.276mil","409.449mil","2795.276mil","409.449mil","2795.276mil","433.071mil","B","270.00","0.1uF, 25V, X5R"
